ARTIST NAME,GENDER,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,PRIMARY_MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS
Barry Ledoux,Male,American,1947-01-01T00:00:00Z,Null,"Fate, Eros, Sleep, Night, 1982",1982-01-01T00:00:00Z,"Steel,lead,copper,sculpmetal,bronze,rivets,glass beads,and oil stick pigment",Oil,"1986.231a,j",1986-01-01T00:00:00Z,Not on view
Joel Shapiro,Male,American,1941-01-01T00:00:00Z,Null,Untitled,2000-01-01T00:00:00Z,Oil paint on cast aluminum,Oil Pastel,"2,001.201",2001-01-01T00:00:00Z,On view in Gallery 915
Jerome Witkin,Male,American,1939-01-01T00:00:00Z,Null,3rd Study for Portrait of Chris Sickler,1974-01-01T00:00:00Z,Oil pastel and graphite on paper,Oil Pastel,2010.427.2,2010-01-01T00:00:00Z,Not on view
Sean Scully,Male,American,1945-01-01T00:00:00Z,Null,Untitled,1983-01-01T00:00:00Z,Oil pastel and graphite on paper,Oil Pastel,"1,996.54",1996-01-01T00:00:00Z,Not on view
Maurice Sterne,Male,American,1878-01-01T00:00:00Z,1957-01-01T00:00:00Z,Seated Woman,1950-01-01T00:00:00Z,Oil pastel and graphite on prepared paper,Oil Pastel,"1,998.99",1998-01-01T00:00:00Z,Not on view
Markus Löpertz,Male,German,1941-01-01T00:00:00Z,Null,Style,1977-01-01T00:00:00Z,Oil pastel and lithographic touche on paper,Oil Pastel,1986.297.19,1986-01-01T00:00:00Z,Not on view
Per Kirkeby,Male,Danish,1938-01-01T00:00:00Z,Null,Untitled,1981-01-01T00:00:00Z,Oil pastel and lithographic tusche on paper,Oil Pastel,1986.297.8,1986-01-01T00:00:00Z,Not on view
Mary Ann Currier,Female,American,1927-01-01T00:00:00Z,Null,Onions and Tomato,1984-01-01T00:00:00Z,Oil pastel on mat board,Oil Pastel,"1,985.78",1985-01-01T00:00:00Z,Not on view
A. R. Penck,Male,German,1939-01-01T00:00:00Z,Null,Untitled,1980-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,1986.297.11,1986-01-01T00:00:00Z,Not on view
Barnett Newman,Male,American,1905-01-01T00:00:00Z,1970-01-01T00:00:00Z,The Song of Orpheus,1944-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,1992.179.1,1992-01-01T00:00:00Z,Not on view
Barnett Newman,Male,American,1905-01-01T00:00:00Z,1970-01-01T00:00:00Z,Untitled,1945-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,1992.179.2,1992-01-01T00:00:00Z,Not on view
Rafael Ferrer,Male,American,1933-01-01T00:00:00Z,Null,Traitor Series/ Number 2,1979-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,"1,980.148",1980-01-01T00:00:00Z,Not on view
Wilhelm Lehmbruck,Male,German,1881-01-01T00:00:00Z,1919-01-01T00:00:00Z,Standing Nude model/ Facing Left,1911-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,1984.433.242,1984-01-01T00:00:00Z,Not on view
Wilhelm Lehmbruck,Male,German,1881-01-01T00:00:00Z,1919-01-01T00:00:00Z,Seated Nude Model/ Facing Left,1912-01-01T00:00:00Z,Oil pastel on paper,Oil Pastel,1984.433.243,1984-01-01T00:00:00Z,Not on view
Tom Levine,Male,American,1945-01-01T00:00:00Z,Null,Untitled (26 III 96,1996-01-01T00:00:00Z,Oil pastel/ charcoal/ watercolor/ and graphite on paper,Oil Pastel,"1,997.276",1997-01-01T00:00:00Z,Not on view
Edouard Vuillard,Male,French,1868-01-01T00:00:00Z,1940-01-01T00:00:00Z,Interior at Saint-Jacut,1909-01-01T00:00:00Z,Pastel and gouache on paper,Oil Pastel,"2,000.197",2000-01-01T00:00:00Z,Not on view
Emrys Williams,Male,British,1958-01-01T00:00:00Z,Null,"Study for ""Larger Painting III""",1988-01-01T00:00:00Z,Pastel and gouache on paper,Oil Pastel,1991.80.2,1991-01-01T00:00:00Z,Not on view
William Robinson,Male,Australian,1936-01-01T00:00:00Z,Null,Untitled,1986-01-01T00:00:00Z,Pastel and gouache on paper,Oil Pastel,1987.294.3,1987-01-01T00:00:00Z,Not on view
Jim Waid,Male,American,1942-01-01T00:00:00Z,Null,Sepik,1989-01-01T00:00:00Z,Pastel and oil pastel on sandpaper,Oil Pastel,"1,990.21",1990-01-01T00:00:00Z,Not on view
Jim Dine,Male,American,1935-01-01T00:00:00Z,Null,"Study for ""Garrity Necklace/ Number 1""",1985-01-01T00:00:00Z,Pastel/ charcoal/ oil/ and shellac on paper,Oil Pastel,"1,987.283",1987-01-01T00:00:00Z,Not on view
Moshe Kupferman,Male,Israeli,1929-01-01T00:00:00Z,2003-01-01T00:00:00Z,Untitled,1990-01-01T00:00:00Z,Pastel/ gouache/ graphite/ and charcoal on paper,Oil Pastel,1992.301.2,1992-01-01T00:00:00Z,Not on view
Peter Booth,Male,Australian,1940-01-01T00:00:00Z,Null,Untitled,1984-01-01T00:00:00Z,Pastel/ oil pastel/ and gouache on paper,Oil Pastel,"1,984.386",1984-01-01T00:00:00Z,Not on view
Conrad Marca-Relli,Male,American,1913-01-01T00:00:00Z,2000-01-01T00:00:00Z,Arras,1955-01-01T00:00:00Z,Painted canvas collage,Painted Materials,"1,971.109",1971-01-01T00:00:00Z,Not on view
Betty Woodman,Female,American,1930-01-01T00:00:00Z,Null,Green Room,2008-01-01T00:00:00Z,Painted canvas/ glazed earthenware/ epoxy resin/ lacquer/ and paint,Painted Materials,2008.659a-n,2008-01-01T00:00:00Z,Not on view
Gary Jacobson,Male,American,1951-01-01T00:00:00Z,Null,And You Got His Grace Right?,1982-01-01T00:00:00Z,Painted clay/ wire/ and string on wood,Painted Materials,"1,984.45",1984-01-01T00:00:00Z,Not on view
Keun-Joong Kim,Male,Korean,1955-01-01T00:00:00Z,Null,Natural Being I,1993-01-01T00:00:00Z,Painted plaster with metal/ glue/ straw/ and ink on burlap,Painted Materials,1995.517.3,1995-01-01T00:00:00Z,Not on view
Red Grooms,Male,American,1937-01-01T00:00:00Z,Null,Ryder's Room,1991-01-01T00:00:00Z,Painted wooden box construction: acrylic/ papier-m√¢ch√©/ cut and pasted wood/ canvas/ cotton mesh/ rubber/ cotton/ and metal coil,Painted Materials,"1,997.401",1997-01-01T00:00:00Z,Not on view
Balthus,Male,French,1908-01-01T00:00:00Z,2001-01-01T00:00:00Z,Palette,1985-01-01T00:00:00Z,Painting palette,Painted Materials,2002.456.125,2002-01-01T00:00:00Z,Not on view
Balthus,Male,French,1908-01-01T00:00:00Z,2001-01-01T00:00:00Z,Palette,1985-01-01T00:00:00Z,Painting palette,Painted Materials,2002.456.126,2002-01-01T00:00:00Z,Not on view
Balthus,Male,French,1908-01-01T00:00:00Z,2001-01-01T00:00:00Z,Palette,1985-01-01T00:00:00Z,Painting palette,Painted Materials,2002.456.127,2002-01-01T00:00:00Z,Not on view
Balthus,Male,French,1908-01-01T00:00:00Z,2001-01-01T00:00:00Z,Palette,1985-01-01T00:00:00Z,Painting palette,Painted Materials,2002.456.128,2002-01-01T00:00:00Z,Not on view
Marc Chagall,Male,French,1887-01-01T00:00:00Z,1985-01-01T00:00:00Z,Palette,1974-01-01T00:00:00Z,Painting palette,Painted Materials,2002.456.129,2002-01-01T00:00:00Z,Not on view
Benny Andrews,Male,American,1930-01-01T00:00:00Z,2006-01-01T00:00:00Z,Juke Joint,1998-01-01T00:00:00Z,Torn and cut paper and textile/ and oil on paper,Painted Materials,2001.287.1,2001-01-01T00:00:00Z,Not on view
Benny Andrews,Male,American,1930-01-01T00:00:00Z,2006-01-01T00:00:00Z,The Family,2000-01-01T00:00:00Z,Torn and cut paper and textile/ and oil on paper,Painted Materials,2001.287.2,2001-01-01T00:00:00Z,Not on view
Rosalie Gascoigne,Female,Australian,1917-01-01T00:00:00Z,1999-01-01T00:00:00Z,First Fruits,1991-01-01T00:00:00Z,Torn and painted tar paper adhered to plywood,Painted Materials,1992.344.13,1992-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Collage with Pressed Poppy,1976-01-01T00:00:00Z,Cut and pasted painted and printed papers/ flower petal/ graphite/ and gouache on paper,Painted Materials,1997.404.6,1997-01-01T00:00:00Z,Not on view
Romare Bearden,Male,American,1911-01-01T00:00:00Z,1988-01-01T00:00:00Z,"Maquette for tapestry/ ""Recollection Pond""",1976-01-01T00:00:00Z,Cut and pasted painted and printed papers/ watercolor/ gouache/ ink marker/ and graphite on paper,Painted Materials,1996.551.2,1996-01-01T00:00:00Z,Not on view
Malcolm Bailey,Male,American,1947-01-01T00:00:00Z,2011-01-01T00:00:00Z,Untitled,1972-01-01T00:00:00Z,Cut and pasted paper/ and acrylic on Plexiglas,Painted Materials,1980.574.4,1980-01-01T00:00:00Z,Not on view
