ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Cornelia Parker,Female,British,Endless Sugar,2011-01-01T00:00:00Z,Mixed Media,2013-01-01T00:00:00Z,Sculpture
Costantino Nivola,Male,American,Mother's Secret,1986-01-01T00:00:00Z,Marble,1989-01-01T00:00:00Z,Sculpture
Cristian Ludwig Attersee,Male,Austrian,Splash in Beige,1980-01-01T00:00:00Z,Gouache,1986-01-01T00:00:00Z,Painting
Cristian Ludwig Attersee,Male,Austrian,Ocher Embarkation,1980-01-01T00:00:00Z,Gouache,1986-01-01T00:00:00Z,Painting
Cy Twombly,Male,American,Untitled,1970-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Cy Twombly,Male,American,Untitled,1960-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
Cynthia Hazen Polsky,Female,Null,Love's Tide,1973-01-01T00:00:00Z,Acrylic,1989-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,ALUM,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PRISM,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PRISM,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PALM,1911-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,FIBRE,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,ALUM,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PALATIN,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,WRONG WAY,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,NUANCE,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PALATIN,1922-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,FIBRE,1922-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,ALUM,1922-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PALM,1911-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,ZIGZAG BRAID,1922-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,PRISM,1922-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,ZIGZAG BRAID,1922-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Dagobert Peche,Male,Austrian,Bird,1920-01-01T00:00:00Z,Silver,1922-01-01T00:00:00Z,Sculpture
Dahlov Ipcar,Male,American,The Little Black Bull Came Down the Meadow,1944-01-01T00:00:00Z,Oil,1947-01-01T00:00:00Z,Painting
Dale Chihuly,Male,American,Black Basket Set with Carmine Lip Wraps,2006-01-01T00:00:00Z,Glass,2007-01-01T00:00:00Z,Sculpture
Dale Chihuly,Male,American,Pink Venetian with Clear and Gold Prunts,1989-01-01T00:00:00Z,Glass,2007-01-01T00:00:00Z,Sculpture
Dale Chihuly,Male,American,Speckled Gold Venetian with Cobalt Leaves and Stem,2001-01-01T00:00:00Z,Glass,2007-01-01T00:00:00Z,Sculpture
Dale Chihuly,Male,American,Table Piece,1995-01-01T00:00:00Z,Glass,2007-01-01T00:00:00Z,Sculpture
Dale Chihuly,Male,American,Verdant Green Black Macchia with Sulphur Lip Wrap,2007-01-01T00:00:00Z,Glass,2007-01-01T00:00:00Z,Sculpture
Dale Nichols,Male,American,End of the Hunt,1934-01-01T00:00:00Z,Oil,1938-01-01T00:00:00Z,Painting
Dan Christensen,Male,American,Auk,1968-01-01T00:00:00Z,Acrylic,1974-01-01T00:00:00Z,Painting
Dan Flavin,Male,American,The Diagonal of May 25/ 1963 (To Robert Rosenblum),1963-01-01T00:00:00Z,Light,1974-01-01T00:00:00Z,Sculpture
Dan McCleary,Male,American,McDonald's/ Number 1,1986-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Dana Van Horn,Male,American,Jeff Kleckner at Work,1985-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
Dana Zomecnikova,Female,Czech,Reclining,1995-01-01T00:00:00Z,Oil,2000-01-01T00:00:00Z,Painting
Dana Zomecnikova,Female,Czech,Reclining,1995-01-01T00:00:00Z,Glass,2000-01-01T00:00:00Z,Sculpture
Daniel Koerner,Male,American,Farm in Moonlight,1938-01-01T00:00:00Z,Gouache,1943-01-01T00:00:00Z,Painting
Daniel Rolph,Male,British,UG,1993-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
Darrel Austin,Male,American,The Tightrope,1941-01-01T00:00:00Z,Oil,1941-01-01T00:00:00Z,Painting
David Bates,Male,American,The Conservatory,1985-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
David Bates,Male,American,The Long Cypress,1983-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
David Budd,Male,American,Untitled,1975-01-01T00:00:00Z,Oil,1977-01-01T00:00:00Z,Painting
David Budd,Male,American,"Bali, The North Shore",1977-01-01T00:00:00Z,Oil,1982-01-01T00:00:00Z,Painting
David Burliuk,Male,American,Hampton Bays/ Long Island,1951-01-01T00:00:00Z,Oil,1982-01-01T00:00:00Z,Painting
David Burliuk,Male,American,In Hampton Bays,1944-01-01T00:00:00Z,Oil,1945-01-01T00:00:00Z,Painting
David Hare,Male,American,The Swan's Dream of Leda,1962-01-01T00:00:00Z,Bronze,1963-01-01T00:00:00Z,Sculpture
David Hockney,Male,British,Mount Fuji and Flowers,1972-01-01T00:00:00Z,Acrylic,1972-01-01T00:00:00Z,Painting
David Hockney,Male,British,Large Interior/ Los Angeles,1988-01-01T00:00:00Z,Oil,1989-01-01T00:00:00Z,Painting
David Humphrey,Male,American,Young Leonardo,1984-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
David Klamen,Male,American,Untitled,1994-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
David Krueger,Male,American,Wild Life,1987-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
David Levine,Male,American,Will Rogers,Null,Watercolor,1995-01-01T00:00:00Z,Painting
David Michael Jones,Male,British,The Satin Slipper,1931-01-01T00:00:00Z,Graphite,1984-01-01T00:00:00Z,Painting
David Nash,Male,British,Cracking Box,1984-01-01T00:00:00Z,Wood,1987-01-01T00:00:00Z,Sculpture
David Novros,Male,American,Study for Four Seasons,1974-01-01T00:00:00Z,Oil,2002-01-01T00:00:00Z,Painting
David Park,Male,American,Women at a Table,1959-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
David Reed,Male,American,Number 232,1986-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
David Regan,Male,American,Yang Shao,1997-01-01T00:00:00Z,Porcelain,1998-01-01T00:00:00Z,Sculpture
David Salle,Male,American,Untitled,1991-01-01T00:00:00Z,Graphite,1993-01-01T00:00:00Z,Painting
David Saunders,Male,American,Pintail,1981-01-01T00:00:00Z,Aluminum,1983-01-01T00:00:00Z,Sculpture
David Shaner,Male,American,Untitled,1994-01-01T00:00:00Z,Stoneware,2001-01-01T00:00:00Z,Sculpture
David Smith,Male,American,Study for Banquet,1950-01-01T00:00:00Z,Ink,2003-01-01T00:00:00Z,Painting
David Smith,Male,American,Seashell and Map,1933-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
David Smith,Male,American,Becca,1965-01-01T00:00:00Z,Steel,1972-01-01T00:00:00Z,Sculpture
David Smith,Male,American,Song of the Landscape,1950-01-01T00:00:00Z,Mixed Media,2006-01-01T00:00:00Z,Sculpture
David Smith,Male,American,Tanktotem II,1952-01-01T00:00:00Z,Steel,1953-01-01T00:00:00Z,Sculpture
David True,Male,American,Untitled,1984-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
David Wojnarowicz,Male,American,William Morales/ Patron of Prison Breaks,1983-01-01T00:00:00Z,Acrylic,1983-01-01T00:00:00Z,Painting
David Wojnarowicz,Male,American,Untitled,1984-01-01T00:00:00Z,Mixed Media,1988-01-01T00:00:00Z,Sculpture
Deborah Butterfield,Female,American,Hudie,1984-01-01T00:00:00Z,Mixed Media,1985-01-01T00:00:00Z,Sculpture
Deborah Butterfield,Female,American,Vermillion,1989-01-01T00:00:00Z,Steel,1991-01-01T00:00:00Z,Sculpture
DeLoss McGraw,Male,American,He Waits for the Muse,2002-01-01T00:00:00Z,Gouache,2003-01-01T00:00:00Z,Painting
DeLoss McGraw,Male,American,He and the Muse with Pattern,2002-01-01T00:00:00Z,Gouache,2003-01-01T00:00:00Z,Painting
Dennis Ashbaugh,Male,American,er Faces Iran Spy Trial,1979-01-01T00:00:00Z,Oil,1980-01-01T00:00:00Z,Painting
Dennis Evans,Male,American,Box,1978-01-01T00:00:00Z,Mixed Media,1987-01-01T00:00:00Z,Sculpture
Dennis Hopper,Male,American,Henry Geldzahler/ 1964,2009-01-01T00:00:00Z,Oil,2011-01-01T00:00:00Z,Painting
Dennis Oppenheim,Male,American,Virus,1988-01-01T00:00:00Z,Graphite,1992-01-01T00:00:00Z,Painting
Dennis Oppenheim,Male,American,Study for Chain of Pearls,1984-01-01T00:00:00Z,Graphite,1992-01-01T00:00:00Z,Painting
Dennis Oppenheim,Male,American,Gallery Structure #1,1967-01-01T00:00:00Z,Wood,1992-01-01T00:00:00Z,Sculpture
Dennis Oppenheim,Male,American,Gallery Structure #2,1967-01-01T00:00:00Z,Wood,1992-01-01T00:00:00Z,Sculpture
Dennis Oppenheim,Male,American,Gallery Structure #3,1967-01-01T00:00:00Z,Wood,1992-01-01T00:00:00Z,Sculpture
Dennis Oppenheim,Male,American,Mt. Cotopaxi Transplant,1968-01-01T00:00:00Z,Mixed Media,1992-01-01T00:00:00Z,Sculpture
Dennis Oppenheim,Male,American,Proposal for Monument to Evel Knievel,1969-01-01T00:00:00Z,Plywood,1992-01-01T00:00:00Z,Sculpture
Dennis Oppenheim,Male,American,Variation on Excavated Sculpture,1968-01-01T00:00:00Z,Mixed Media,1992-01-01T00:00:00Z,Sculpture
Dennis Smith,Male,American,Hell (Union Square,1981-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Diego Rivera,Male,Mexican,The Café Terrace,1915-01-01T00:00:00Z,Oil,1949-01-01T00:00:00Z,Painting
Dimitrie Berea,Male,French,Lady Sarah Chester-Beatty at Baroda House,1953-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Domenic Cretara,Male,American,"Study for  ""The Assault""",1986-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Dominick Labino,Male,American,Emergence in Polychrome,1977-01-01T00:00:00Z,Glass,1977-01-01T00:00:00Z,Sculpture
Don Eddy,Male,American,Dreamreader's Table IV,1989-01-01T00:00:00Z,Acrylic,2003-01-01T00:00:00Z,Painting
Don Nice,Male,American,Wolf/ Western Series/ American Predella #5,1975-01-01T00:00:00Z,Acrylic,1992-01-01T00:00:00Z,Painting
Don Wynn,Male,American,Midwest Apartment,1972-01-01T00:00:00Z,Oil,1995-01-01T00:00:00Z,Painting
Dona Nelson,Female,American,Daily News,1983-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Donal Hord,Male,American,MAN MUST SOW / TO REAP,1949-01-01T00:00:00Z,Bronze,1950-01-01T00:00:00Z,Sculpture
Donald De Lue,Male,American,Medal,1957-01-01T00:00:00Z,Bronze,1958-01-01T00:00:00Z,Sculpture
Donald Judd,Male,American,Untitled,1981-01-01T00:00:00Z,Aluminum,1985-01-01T00:00:00Z,Sculpture
Donald Lipski,Male,American,Passing Times Series (Taped Dogs),1982-01-01T00:00:00Z,Mixed Media,1983-01-01T00:00:00Z,Sculpture
Donald Lipski,Male,American,The West,1987-01-01T00:00:00Z,Steel,1988-01-01T00:00:00Z,Sculpture
Donald Lipski,Male,American,Untitled (#133),1987-01-01T00:00:00Z,Mixed Media,1988-01-01T00:00:00Z,Sculpture
Donald Moffett,Male,American,Lot 010907 (7wl,2007-01-01T00:00:00Z,Oil,2013-01-01T00:00:00Z,Painting
Donald Richard Miller,Male,American,PENTAGONAL MEDAL,1967-01-01T00:00:00Z,Bronze,1968-01-01T00:00:00Z,Sculpture
Donald Shambroom,Male,American,Dangerous Walls,1988-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Donald Sultan,Male,American,ACCIDENT July 15 1985,1985-01-01T00:00:00Z,Latex,1986-01-01T00:00:00Z,Painting
Dong-Koo Yun,Male,Korean,Untitled,1989-01-01T00:00:00Z,Bronze Paint,1995-01-01T00:00:00Z,Painting
Doris Emrick Lee,Female,American,Catastrophe,1936-01-01T00:00:00Z,Oil,1937-01-01T00:00:00Z,Painting
Dorothea Tanning,Female,American,Projet de Violence III,Null,Watercolor,2007-01-01T00:00:00Z,Painting
Dorothy Dehner,Female,American,Desert,1948-01-01T00:00:00Z,Gouache,1997-01-01T00:00:00Z,Painting
Dorothy Dehner,Female,American,Still Life with Shells,1931-01-01T00:00:00Z,Oil,1997-01-01T00:00:00Z,Painting
Dorothy Dehner,Female,American,Gateway,1979-01-01T00:00:00Z,Wood,1979-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Apple Blossoms,1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female Baltimore Oriole),1938-01-01T00:00:00Z,Porcelain,1961-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female bluebird),1937-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female cardinal),1937-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female chickadee),1938-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female goldfinch),1936-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female Indigo Bunting),1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female Magnolia Warbler),1949-01-01T00:00:00Z,Porcelain,1961-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female mockingbird),1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female phoebe),1958-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (female redstart),1935-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (kinglet),1951-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male Baltimore Oriole),1938-01-01T00:00:00Z,Porcelain,1961-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male bluebird),1937-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male cardinal),1937-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male gnatcatcher),1954-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male goldfinch),1936-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male Indigo Bunting),1930-01-01T00:00:00Z,Porcelain,1961-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male Indigo Bunting),1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male Magnolia Warbler),1949-01-01T00:00:00Z,Porcelain,1961-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male mockingbird),1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (male redstart),1935-01-01T00:00:00Z,Porcelain,1960-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Bird (phoebe chick),1958-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Birds (male and female kinglets),1951-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Birds (two gnatcatchers),1954-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Orange blossoms,1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Plants (Mexican feijoa),1949-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Doughty,Female,British,Sculpture,1942-01-01T00:00:00Z,Porcelain,1963-01-01T00:00:00Z,Sculpture
Dorothy Eisner,Female,American,Walker Evans,1944-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Dorothy Feibleman,Female,American,White on White,1998-01-01T00:00:00Z,Porcelain,2000-01-01T00:00:00Z,Sculpture
Doug Anderson,Male,American,Can't,1985-01-01T00:00:00Z,Acrylic,1986-01-01T00:00:00Z,Painting
Doug Ohlson,Male,American,Quartet,1980-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Douglas Hoagg,Male,American,Wedge,1985-01-01T00:00:00Z,Wood,1987-01-01T00:00:00Z,Sculpture
Douglas Safranek,Male,American,Entranced,1990-01-01T00:00:00Z,Egg Tempera,1992-01-01T00:00:00Z,Painting
Dove Bradshaw,Female,American,Performance,1976-01-01T00:00:00Z,Brass,2007-01-01T00:00:00Z,Sculpture
Dulce Maria Nunez,Female,Mexican,Ghosts and Obsessions,1987-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Duncan Grant,Male,British,The Coffee Pot,1916-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Duncan Grant,Male,British,Virginia Woolf,1911-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Duncan Grant,Male,British,Artist's Study at Charleston,1967-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Duncan Hannah,Male,American,The Letter,1983-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Duncan Hannah,Male,American,Out of Doors,1987-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
e. e. cummings,Male,American,Sound,1919-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Earl Cunningham,Male,American,Seminole Everglades,1945-01-01T00:00:00Z,Oil,1997-01-01T00:00:00Z,Painting
Earl Kerkam,Male,American,Figure,1950-01-01T00:00:00Z,Oil,2006-01-01T00:00:00Z,Painting
Ed Baynard,Male,American,An American Painting For Rose Paul,1979-01-01T00:00:00Z,Alkyd,1980-01-01T00:00:00Z,Painting
Ed Garman,Male,American,Untitled (Number 263A,1942-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Ed Paschke,Male,American,Watching Television,1982-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Ed Rossbach,Male,American,Happy Days,1991-01-01T00:00:00Z,Mixed Media,1998-01-01T00:00:00Z,Sculpture
Eda Mirsky Mann,Female,American,Lee Krasner,1929-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Eda Mirsky Mann,Female,American,Lee Krasner,1930-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Edda Renouf,Female,American,Flight II,1979-01-01T00:00:00Z,Acrylic,1981-01-01T00:00:00Z,Painting
Edgar Degas,Male,French,Woman Putting on a Stocking,1895-01-01T00:00:00Z,Bronze,1999-01-01T00:00:00Z,Sculpture
Edgar Levy,Male,American,David Smith,1930-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Edgardo Simone,Male,American,Theodore Dreiser (1871-1945),1944-01-01T00:00:00Z,Bronze,1947-01-01T00:00:00Z,Sculpture
Edith C. Blum,Female,American,Lost Lady,1938-01-01T00:00:00Z,Oil,1939-01-01T00:00:00Z,Painting
Edmond Amateis,Male,American,The Doves Elect a Hawk Their King,1940-01-01T00:00:00Z,Bronze,1940-01-01T00:00:00Z,Sculpture
Edouard Vuillard,Male,French,Garden at Vaucresson,1920-01-01T00:00:00Z,Distemper,1952-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Self-Portrait with Waroquy,1889-01-01T00:00:00Z,Oil,1955-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,The Album,1895-01-01T00:00:00Z,Oil,2000-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Luncheon,1901-01-01T00:00:00Z,Oil,1979-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,At Table,1893-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Conversation,1897-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Jos and Lucie Hessel in the Small Salon/ Rue de Rivoli,1900-01-01T00:00:00Z,Oil,2003-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Interior,1900-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Interior at Saint-Jacut,1909-01-01T00:00:00Z,Oil Pastel,2000-01-01T00:00:00Z,Painting
Edouard Vuillard,Male,French,Interior with Paintings and a Pheasant,1928-01-01T00:00:00Z,Tempera,1948-01-01T00:00:00Z,Painting
Eduardo Paolozzi,Male,British,Figure,1957-01-01T00:00:00Z,Bronze,1996-01-01T00:00:00Z,Sculpture
Edward Avedisian,Male,American,Untitled,1965-01-01T00:00:00Z,Acrylic,1968-01-01T00:00:00Z,Painting
Edward Avedisian,Male,American,Kool-Aid,1969-01-01T00:00:00Z,Acrylic,1970-01-01T00:00:00Z,Painting
"Edward Field Sanford, Jr.",Male,American,Hercules,1916-01-01T00:00:00Z,Bronze,1952-01-01T00:00:00Z,Sculpture
Edward Francis McCartan,Male,American,Diana,1923-01-01T00:00:00Z,Bronze,1923-01-01T00:00:00Z,Sculpture
Edward Francis McCartan,Male,American,THE OLD WORLD AND THE NEW WORLD,1939-01-01T00:00:00Z,Bronze,1939-01-01T00:00:00Z,Sculpture
Edward Hopper,Male,American,Tables for Ladies,1930-01-01T00:00:00Z,Oil,1931-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,From Williamsburg Bridge,1928-01-01T00:00:00Z,Oil,1937-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,Office in a Small City,1953-01-01T00:00:00Z,Oil,1953-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,The Lighthouse at Two Lights,1929-01-01T00:00:00Z,Oil,1962-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,House of the Foghorn/ I,1927-01-01T00:00:00Z,Watercolor,1956-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,Folly Beach/ Charleston/ South Carolina,1929-01-01T00:00:00Z,Watercolor,1974-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,Barn and Silo/ Vermont,1927-01-01T00:00:00Z,Watercolor,1974-01-01T00:00:00Z,Painting
Edward Hopper,Male,American,Coast Guard Station/ Two Lights/ Maine,1927-01-01T00:00:00Z,Watercolor,1974-01-01T00:00:00Z,Painting
Edward J. Steichen,Male,American,Nocturne/ Temple d'Amour,1910-01-01T00:00:00Z,Oil,1913-01-01T00:00:00Z,Painting
Edward Laning,Male,American,Road to Kiowa: Study for The Passion of Carry Nation,1936-01-01T00:00:00Z,Ink,1964-01-01T00:00:00Z,Painting
Edward Marshall Boehm,Male,American,Boehm bird,1945-01-01T00:00:00Z,Porcelain,1975-01-01T00:00:00Z,Sculpture
Edward Marshall Boehm,Male,American,Percheron Stallion,1950-01-01T00:00:00Z,Porcelain,1950-01-01T00:00:00Z,Sculpture
Edward McKnight Kauffer,Male,American,Sunflowers,1921-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
Edwin Dickinson,Male,American,Villa La Mouette,1938-01-01T00:00:00Z,Oil,1938-01-01T00:00:00Z,Painting
Edwin Dickinson,Male,American,Ruin at Daphne,1943-01-01T00:00:00Z,Oil,1955-01-01T00:00:00Z,Painting
Edwin Dickinson,Male,American,Farm House/ Sanary-sur-Mer,1938-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Edwin Dickinson,Male,American,Helen Boyer,1947-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Edwin Dickinson,Male,American,Two Figures,1922-01-01T00:00:00Z,Oil,1959-01-01T00:00:00Z,Painting
Edwina Leapman,Female,British,Untitled,1993-01-01T00:00:00Z,Acrylic,1994-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Standing Girl/ Back View,1908-01-01T00:00:00Z,Gouache,1984-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Two Women Embracing,1913-01-01T00:00:00Z,Gouache,1991-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Crouching Nude in Shoes and Black Stockings/ Back View,1912-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Standing Nude with Orange Drapery,1914-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Seated Woman/ Back View,1917-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Self-Portrait,1911-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Egon Schiele,Male,Austrian,Street Cart,1914-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
El Anatsui,Male,Ghanaian,Dusasa II,2007-01-01T00:00:00Z,Mixed Media,2008-01-01T00:00:00Z,Sculpture
Elaine de Kooning,Female,American,Self-Portrait,1946-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
Elaine Haxton,Female,Australian,Early Colonial Architecture,1940-01-01T00:00:00Z,Gouache,1941-01-01T00:00:00Z,Painting
Eleanor Platt,Female,American,Louis D. Brandeis,1911-01-01T00:00:00Z,Bronze,1942-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Female Head,1908-01-01T00:00:00Z,Marble,1992-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Figure,1935-01-01T00:00:00Z,Plaster,1970-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Figure,1935-01-01T00:00:00Z,Plaster,1970-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Figure,1935-01-01T00:00:00Z,Plaster,1970-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Figure,1935-01-01T00:00:00Z,Plaster,1970-01-01T00:00:00Z,Sculpture
Elie Nadelman,Female,American,Figure,1935-01-01T00:00:00Z,Plaster,1970-01-01T00:00:00Z,Sculpture
