ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Perkins Harnly,Male,American,14th Street Theatre,1940-01-01T00:00:00Z,Gouache,1943-01-01T00:00:00Z,Painting
Peter Aldridge,Male,British,Passage: An Interval of Time,1981-01-01T00:00:00Z,Glass,1999-01-01T00:00:00Z,Sculpture
Peter Blake,Male,British,Titania,1984-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
Peter Blume,Male,American,"Study Number 5 for ""Recollection of the Flood""",1968-01-01T00:00:00Z,Enamel,1996-01-01T00:00:00Z,Painting
Peter Blume,Male,American,South of Scranton,1931-01-01T00:00:00Z,Oil,1942-01-01T00:00:00Z,Painting
Peter Blume,Male,American,Children in the Tree,1961-01-01T00:00:00Z,Oil,1962-01-01T00:00:00Z,Painting
Peter Blume,Male,American,Castle of Euryalus,1952-01-01T00:00:00Z,Oil,1961-01-01T00:00:00Z,Painting
Peter Booth,Male,Australian,Desert,1985-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
Peter Booth,Male,Australian,Untitled,1984-01-01T00:00:00Z,Oil Pastel,1984-01-01T00:00:00Z,Painting
Peter Bradley,Male,American,Pink Elephant,1970-01-01T00:00:00Z,Acrylic,1980-01-01T00:00:00Z,Painting
Peter Dalton,Male,American,TO DWELL TOGETHER IN UNITY BEHOLD HOW GOOD AND HOW PLEASANT IT IS FOR BRETHREN / THEY SHALL BEAT THEIR SWORDS INTO PLOUGHSHARES,1953-01-01T00:00:00Z,Bronze,1954-01-01T00:00:00Z,Sculpture
Peter Dalton,Male,American,TO DWELL TOGETHER IN UNITY BEHOLD HOW GOOD AND HOW PLEASANT IT IS FOR BRETHREN / THEY SHALL BEAT THEIR SWORDS INTO PLOUGHSHARES,1953-01-01T00:00:00Z,Bronze,1954-01-01T00:00:00Z,Sculpture
Peter Fletcher,Male,American,The Eye's Mind/The Mind's Eye,1986-01-01T00:00:00Z,Acrylic,1986-01-01T00:00:00Z,Painting
Peter Howson,Male,British,Samson (Bairds Carryout,1987-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Peter Nadin,Male,British,Hooton's Lightning (The Child Wills the Accident to Happen so the Rescue May Begin,1991-01-01T00:00:00Z,Oil,1992-01-01T00:00:00Z,Painting
Peter Reginato,Male,American,Kingfish,1986-01-01T00:00:00Z,Steel,1987-01-01T00:00:00Z,Sculpture
Peter Reginato,Male,American,The Diapason,1970-01-01T00:00:00Z,Steel,1979-01-01T00:00:00Z,Sculpture
Peter Sacks,Male,American,Necessity 7,2007-01-01T00:00:00Z,Fabric,2010-01-01T00:00:00Z,Painting
Peter Saul,Male,American,View of San Francisco/ Number 2,1988-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Peter Schuyff,Male,Dutch,Yellow Man,1984-01-01T00:00:00Z,Acrylic,1988-01-01T00:00:00Z,Painting
Peter Solow,Male,American,The Studio,1983-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Peter Todd Mitchell,Male,American,"Design Drawing for an ""Indian"" Wallpaper",1950-01-01T00:00:00Z,Gouache,1999-01-01T00:00:00Z,Painting
Peter Waite,Male,American,Interior (Ocean Liner,1988-01-01T00:00:00Z,Acrylic,1988-01-01T00:00:00Z,Painting
Philip Evergood,Male,American,Her World,1948-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Philip Evergood,Male,American,Kalamazoo in Winter,1941-01-01T00:00:00Z,Oil,1942-01-01T00:00:00Z,Painting
Philip Grausman,Male,American,Isabel,1983-01-01T00:00:00Z,Pewter,1987-01-01T00:00:00Z,Sculpture
Philip Guston,Male,American,Head II,1963-01-01T00:00:00Z,Gouache,1992-01-01T00:00:00Z,Painting
Philip Guston,Male,American,Performers,1947-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Philip Guston,Male,American,"Close Up, III",1961-01-01T00:00:00Z,Oil,1972-01-01T00:00:00Z,Painting
Philip Guston,Male,American,The Street,1977-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
Philip Guston,Male,American,Painting/ Number 5,1952-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Philip Guston,Male,American,Stationary Figure,1973-01-01T00:00:00Z,Oil,1992-01-01T00:00:00Z,Painting
Philip Guston,Male,American,Portrait of my Mother,1931-01-01T00:00:00Z,Oil,1997-01-01T00:00:00Z,Painting
Philip Guston,Male,American,Painting,1952-01-01T00:00:00Z,Oil,2006-01-01T00:00:00Z,Painting
Philip Pearlstein,Male,American,Alex Katz,1965-01-01T00:00:00Z,Oil,1978-01-01T00:00:00Z,Painting
Philip Pearlstein,Male,American,Norman Loftis,1974-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Philip Pearlstein,Male,American,Male and Female Models Sitting on the Floor,1964-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
Philip Pearlstein,Male,American,Female Model on Eames Stool,1978-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
Philip Pearlstein,Male,American,Seated Model,1966-01-01T00:00:00Z,Oil,2008-01-01T00:00:00Z,Painting
